Case,Year,FuelCategory,NewCapacity_MW,Unit
BAU_Normal,2030,DIESEL,0.000000000,MW
BAU_Normal,2030,FUEL OIL,0.000000000,MW
BAU_Normal,2030,GAS,269.320000000,MW
BAU_Normal,2030,IMPORTS,0.000000000,MW
BAU_Normal,2030,OTHER,0.000000000,MW
BAU_Normal,2031,HYDRO,1200.000000000,MW
BAU_Normal,2031,PV,0.000000000,MW
BAU_Normal,2031,WIND,0.000000000,MW
BAU_Normal,2031,GEOTHERMAL,0.000000000,MW
BAU_Normal,2031,BIOENERGY,0.000000000,MW
BAU_Normal,2031,DIESEL,0.000000000,MW
BAU_Normal,2031,FUEL OIL,0.000000000,MW
BAU_Normal,2031,GAS,0.000000000,MW
BAU_Normal,2031,IMPORTS,0.000000000,MW
BAU_Normal,2031,OTHER,0.000000000,MW
BAU_Normal,2032,HYDRO,0.000000000,MW
BAU_Normal,2032,PV,0.000000000,MW
BAU_Normal,2032,WIND,0.000000000,MW
BAU_Normal,2032,GEOTHERMAL,0.000000000,MW
BAU_Normal,2032,BIOENERGY,0.000000000,MW
BAU_Normal,2032,DIESEL,0.000000000,MW
BAU_Normal,2032,FUEL OIL,0.000000000,MW
BAU_Normal,2032,GAS,0.000000000,MW
BAU_Normal,2032,IMPORTS,0.000000000,MW
BAU_Normal,2032,OTHER,0.000000000,MW
BAU_Normal,2033,HYDRO,0.000000000,MW
BAU_Normal,2033,PV,277.500000000,MW
BAU_Normal,2033,WIND,900.000000000,MW
BAU_Normal,2033,GEOTHERMAL,0.000000000,MW
BAU_Normal,2033,BIOENERGY,0.000000000,MW
BAU_Normal,2033,DIESEL,0.000000000,MW
BAU_Normal,2033,FUEL OIL,0.000000000,MW
BAU_Normal,2033,GAS,0.000000000,MW
BAU_Normal,2033,IMPORTS,0.000000000,MW
BAU_Normal,2033,OTHER,0.000000000,MW
BAU_Normal,2034,HYDRO,201.000000000,MW
BAU_Normal,2034,PV,200.000000000,MW
BAU_Normal,2034,WIND,300.000000000,MW
BAU_Normal,2034,GEOTHERMAL,0.000000000,MW
BAU_Normal,2034,BIOENERGY,0.000000000,MW
BAU_Normal,2034,DIESEL,0.000000000,MW
BAU_Normal,2034,FUEL OIL,0.000000000,MW
BAU_Normal,2034,GAS,0.000000000,MW
BAU_Normal,2034,IMPORTS,0.000000000,MW
BAU_Normal,2034,OTHER,0.000000000,MW
BAU_Normal,2035,HYDRO,260.000000000,MW
BAU_Normal,2035,PV,100.000000000,MW
BAU_Normal,2035,WIND,150.000000000,MW
BAU_Normal,2035,GEOTHERMAL,0.000000000,MW
BAU_Normal,2035,BIOENERGY,0.000000000,MW
BAU_Normal,2035,DIESEL,0.000000000,MW
BAU_Normal,2035,FUEL OIL,0.000000000,MW
BAU_Normal,2035,GAS,0.000000000,MW
BAU_Normal,2035,IMPORTS,0.000000000,MW
BAU_Normal,2035,OTHER,0.000000000,MW
BAU_Normal,2036,HYDRO,351.400000000,MW
BAU_Normal,2036,PV,73.200000000,MW
BAU_Normal,2036,WIND,0.000000000,MW
BAU_Normal,2036,GEOTHERMAL,0.000000000,MW
BAU_Normal,2036,BIOENERGY,0.000000000,MW
BAU_Normal,2036,DIESEL,0.000000000,MW
BAU_Normal,2036,FUEL OIL,0.000000000,MW
BAU_Normal,2036,GAS,0.000000000,MW
BAU_Normal,2036,IMPORTS,0.000000000,MW
BAU_Normal,2036,OTHER,0.000000000,MW
BAU_Normal,2037,HYDRO,361.000000000,MW
BAU_Normal,2037,PV,453.300000000,MW
BAU_Normal,2037,WIND,0.000000000,MW
BAU_Normal,2037,GEOTHERMAL,0.000000000,MW
BAU_Normal,2037,BIOENERGY,0.000000000,MW
BAU_Normal,2037,DIESEL,0.000000000,MW
BAU_Normal,2037,FUEL OIL,0.000000000,MW
BAU_Normal,2037,GAS,0.000000000,MW
BAU_Normal,2037,IMPORTS,0.000000000,MW
BAU_Normal,2037,OTHER,0.000000000,MW
BAU_Normal,2038,HYDRO,461.000000000,MW
BAU_Normal,2038,PV,200.000000000,MW
BAU_Normal,2038,WIND,0.000000000,MW
BAU_Normal,2038,GEOTHERMAL,0.000000000,MW
BAU_Normal,2038,BIOENERGY,0.000000000,MW
BAU_Normal,2038,DIESEL,0.000000000,MW
BAU_Normal,2038,FUEL OIL,0.000000000,MW
BAU_Normal,2038,GAS,0.000000000,MW
BAU_Normal,2038,IMPORTS,0.000000000,MW
BAU_Normal,2038,OTHER,0.000000000,MW
BAU_Normal,2039,HYDRO,317.700000000,MW
BAU_Normal,2039,PV,0.000000000,MW
BAU_Normal,2039,WIND,0.000000000,MW
BAU_Normal,2039,GEOTHERMAL,0.000000000,MW
BAU_Normal,2039,BIOENERGY,0.000000000,MW
BAU_Normal,2039,DIESEL,0.000000000,MW
BAU_Normal,2039,FUEL OIL,0.000000000,MW
BAU_Normal,2039,GAS,0.000000000,MW
BAU_Normal,2039,IMPORTS,0.000000000,MW
BAU_Normal,2039,OTHER,0.000000000,MW
BAU_Normal,2040,HYDRO,1172.000000000,MW
BAU_Normal,2040,PV,0.000000000,MW
BAU_Normal,2040,WIND,0.000000000,MW
BAU_Normal,2040,GEOTHERMAL,0.000000000,MW
BAU_Normal,2040,BIOENERGY,0.000000000,MW
BAU_Normal,2040,DIESEL,0.000000000,MW
BAU_Normal,2040,FUEL OIL,0.000000000,MW
BAU_Normal,2040,GAS,0.000000000,MW
BAU_Normal,2040,IMPORTS,0.000000000,MW
BAU_Normal,2040,OTHER,0.000000000,MW
BAU_Normal,2041,HYDRO,6.000000000,MW
BAU_Normal,2041,PV,0.000000000,MW
BAU_Normal,2041,WIND,0.000000000,MW
BAU_Normal,2041,GEOTHERMAL,0.000000000,MW
BAU_Normal,2041,BIOENERGY,0.000000000,MW
BAU_Normal,2041,DIESEL,0.000000000,MW
BAU_Normal,2041,FUEL OIL,0.000000000,MW
BAU_Normal,2041,GAS,0.000000000,MW
BAU_Normal,2041,IMPORTS,0.000000000,MW
BAU_Normal,2041,OTHER,0.000000000,MW
BAU_Normal,2042,HYDRO,598.160000000,MW
BAU_Normal,2042,PV,0.000000000,MW
BAU_Normal,2042,WIND,0.000000000,MW
BAU_Normal,2042,GEOTHERMAL,0.000000000,MW
BAU_Normal,2042,BIOENERGY,0.000000000,MW
BAU_Normal,2042,DIESEL,0.000000000,MW
BAU_Normal,2042,FUEL OIL,0.000000000,MW
BAU_Normal,2042,GAS,0.000000000,MW
BAU_Normal,2042,IMPORTS,0.000000000,MW
BAU_Normal,2042,OTHER,0.000000000,MW
BAU_Normal,2043,HYDRO,702.200000000,MW
BAU_Normal,2043,PV,0.000000000,MW
BAU_Normal,2043,WIND,0.000000000,MW
BAU_Normal,2043,GEOTHERMAL,0.000000000,MW
BAU_Normal,2043,BIOENERGY,0.000000000,MW
BAU_Normal,2043,DIESEL,0.000000000,MW
BAU_Normal,2043,FUEL OIL,0.000000000,MW
BAU_Normal,2043,GAS,0.000000000,MW
BAU_Normal,2043,IMPORTS,0.000000000,MW
BAU_Normal,2043,OTHER,0.000000000,MW
BAU_Normal,2044,HYDRO,264.030000000,MW
BAU_Normal,2044,PV,0.000000000,MW
BAU_Normal,2044,WIND,0.000000000,MW
BAU_Normal,2044,GEOTHERMAL,0.000000000,MW
BAU_Normal,2044,BIOENERGY,0.000000000,MW
BAU_Normal,2044,DIESEL,0.000000000,MW
BAU_Normal,2044,FUEL OIL,0.000000000,MW
BAU_Normal,2044,GAS,0.000000000,MW
BAU_Normal,2044,IMPORTS,0.000000000,MW
BAU_Normal,2044,OTHER,0.000000000,MW
BAU_Normal,2045,HYDRO,554.700000000,MW
BAU_Normal,2045,PV,0.000000000,MW
BAU_Normal,2045,WIND,0.000000000,MW
BAU_Normal,2045,GEOTHERMAL,0.000000000,MW
BAU_Normal,2045,BIOENERGY,0.000000000,MW
BAU_Normal,2045,DIESEL,0.000000000,MW
BAU_Normal,2045,FUEL OIL,0.000000000,MW
BAU_Normal,2045,GAS,0.000000000,MW
BAU_Normal,2045,IMPORTS,0.000000000,MW
BAU_Normal,2045,OTHER,0.000000000,MW
BAU_Normal,2046,HYDRO,753.900000000,MW
BAU_Normal,2046,PV,0.000000000,MW
BAU_Normal,2046,WIND,0.000000000,MW
BAU_Normal,2046,GEOTHERMAL,0.000000000,MW
BAU_Normal,2046,BIOENERGY,0.000000000,MW
BAU_Normal,2046,DIESEL,0.000000000,MW
BAU_Normal,2046,FUEL OIL,0.000000000,MW
BAU_Normal,2046,GAS,0.000000000,MW
BAU_Normal,2046,IMPORTS,0.000000000,MW
BAU_Normal,2046,OTHER,0.000000000,MW
BAU_Normal,2047,HYDRO,66.200000000,MW
BAU_Normal,2047,PV,0.000000000,MW
BAU_Normal,2047,WIND,0.000000000,MW
BAU_Normal,2047,GEOTHERMAL,0.000000000,MW
BAU_Normal,2047,BIOENERGY,0.000000000,MW
BAU_Normal,2047,DIESEL,0.000000000,MW
BAU_Normal,2047,FUEL OIL,200.000000000,MW
BAU_Normal,2047,GAS,0.000000000,MW
BAU_Normal,2047,IMPORTS,0.000000000,MW
BAU_Normal,2047,OTHER,0.000000000,MW
BAU_Normal,2048,HYDRO,31.600000000,MW
BAU_Normal,2048,PV,0.000000000,MW
BAU_Normal,2048,WIND,0.000000000,MW
BAU_Normal,2048,GEOTHERMAL,0.000000000,MW
BAU_Normal,2048,BIOENERGY,0.000000000,MW
BAU_Normal,2048,DIESEL,0.000000000,MW
BAU_Normal,2048,FUEL OIL,600.000000000,MW
BAU_Normal,2048,GAS,0.000000000,MW
BAU_Normal,2048,IMPORTS,0.000000000,MW
BAU_Normal,2048,OTHER,0.000000000,MW
BAU_Normal,2049,HYDRO,460.000000000,MW
BAU_Normal,2049,PV,0.000000000,MW
BAU_Normal,2049,WIND,0.000000000,MW
BAU_Normal,2049,GEOTHERMAL,0.000000000,MW
BAU_Normal,2049,BIOENERGY,0.000000000,MW
BAU_Normal,2049,DIESEL,0.000000000,MW
BAU_Normal,2049,FUEL OIL,300.000000000,MW
BAU_Normal,2049,GAS,0.000000000,MW
BAU_Normal,2049,IMPORTS,0.000000000,MW
BAU_Normal,2049,OTHER,0.000000000,MW
BAU_Normal,2050,HYDRO,0.000000000,MW
BAU_Normal,2050,PV,0.000000000,MW
BAU_Normal,2050,WIND,0.000000000,MW
BAU_Normal,2050,GEOTHERMAL,0.000000000,MW
BAU_Normal,2050,BIOENERGY,0.000000000,MW
BAU_Normal,2050,DIESEL,0.000000000,MW
BAU_Normal,2050,FUEL OIL,0.000000000,MW
BAU_Normal,2050,GAS,0.000000000,MW
BAU_Normal,2050,IMPORTS,0.000000000,MW
BAU_Normal,2050,OTHER,0.000000000,MW
BAU_Extreme,2025,HYDRO,0.000000000,MW
BAU_Extreme,2025,PV,200.000000000,MW
BAU_Extreme,2025,WIND,110.000000000,MW
BAU_Extreme,2025,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2025,BIOENERGY,0.000000000,MW
BAU_Extreme,2025,DIESEL,0.000000000,MW
BAU_Extreme,2025,FUEL OIL,0.000000000,MW
BAU_Extreme,2025,GAS,192.320000000,MW
BAU_Extreme,2025,IMPORTS,0.000000000,MW
BAU_Extreme,2025,OTHER,0.000000000,MW
BAU_Extreme,2026,HYDRO,30.000000000,MW
BAU_Extreme,2026,PV,317.600000000,MW
BAU_Extreme,2026,WIND,45.000000000,MW
BAU_Extreme,2026,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2026,BIOENERGY,0.000000000,MW
BAU_Extreme,2026,DIESEL,0.000000000,MW
BAU_Extreme,2026,FUEL OIL,0.000000000,MW
BAU_Extreme,2026,GAS,77.000000000,MW
BAU_Extreme,2026,IMPORTS,0.000000000,MW
BAU_Extreme,2026,OTHER,0.000000000,MW
BAU_Extreme,2027,HYDRO,247.710000000,MW
BAU_Extreme,2027,PV,170.000000000,MW
BAU_Extreme,2027,WIND,0.000000000,MW
BAU_Extreme,2027,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2027,BIOENERGY,0.000000000,MW
BAU_Extreme,2027,DIESEL,0.000000000,MW
BAU_Extreme,2027,FUEL OIL,0.000000000,MW
BAU_Extreme,2027,GAS,110.000000000,MW
BAU_Extreme,2027,IMPORTS,0.000000000,MW
BAU_Extreme,2027,OTHER,0.000000000,MW
BAU_Extreme,2028,HYDRO,50.000000000,MW
BAU_Extreme,2028,PV,330.000000000,MW
BAU_Extreme,2028,WIND,380.000000000,MW
BAU_Extreme,2028,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2028,BIOENERGY,0.000000000,MW
BAU_Extreme,2028,DIESEL,0.000000000,MW
BAU_Extreme,2028,FUEL OIL,0.000000000,MW
BAU_Extreme,2028,GAS,400.000000000,MW
BAU_Extreme,2028,IMPORTS,0.000000000,MW
BAU_Extreme,2028,OTHER,0.000000000,MW
BAU_Extreme,2029,HYDRO,200.000000000,MW
BAU_Extreme,2029,PV,0.000000000,MW
BAU_Extreme,2029,WIND,0.000000000,MW
BAU_Extreme,2029,GEOTHERMAL,50.000000000,MW
BAU_Extreme,2029,BIOENERGY,0.000000000,MW
BAU_Extreme,2029,DIESEL,0.000000000,MW
BAU_Extreme,2029,FUEL OIL,300.000000000,MW
BAU_Extreme,2029,GAS,0.000000000,MW
BAU_Extreme,2029,IMPORTS,0.000000000,MW
BAU_Extreme,2029,OTHER,0.000000000,MW
BAU_Extreme,2030,HYDRO,250.000000000,MW
BAU_Extreme,2030,PV,0.000000000,MW
BAU_Extreme,2030,WIND,0.000000000,MW
BAU_Extreme,2030,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2030,BIOENERGY,0.000000000,MW
BAU_Extreme,2030,DIESEL,0.000000000,MW
BAU_Extreme,2030,FUEL OIL,600.000000000,MW
BAU_Extreme,2030,GAS,0.000000000,MW
BAU_Extreme,2030,IMPORTS,0.000000000,MW
BAU_Extreme,2030,OTHER,0.000000000,MW
BAU_Extreme,2031,HYDRO,0.000000000,MW
BAU_Extreme,2031,PV,0.000000000,MW
BAU_Extreme,2031,WIND,0.000000000,MW
BAU_Extreme,2031,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2031,BIOENERGY,0.000000000,MW
BAU_Extreme,2031,DIESEL,0.000000000,MW
BAU_Extreme,2031,FUEL OIL,0.000000000,MW
BAU_Extreme,2031,GAS,0.000000000,MW
BAU_Extreme,2031,IMPORTS,0.000000000,MW
BAU_Extreme,2031,OTHER,0.000000000,MW
BAU_Extreme,2032,HYDRO,1200.000000000,MW
BAU_Extreme,2032,PV,0.000000000,MW
BAU_Extreme,2032,WIND,0.000000000,MW
BAU_Extreme,2032,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2032,BIOENERGY,0.000000000,MW
BAU_Extreme,2032,DIESEL,0.000000000,MW
BAU_Extreme,2032,FUEL OIL,0.000000000,MW
BAU_Extreme,2032,GAS,0.000000000,MW
BAU_Extreme,2032,IMPORTS,0.000000000,MW
BAU_Extreme,2032,OTHER,0.000000000,MW
BAU_Extreme,2033,HYDRO,0.000000000,MW
BAU_Extreme,2033,PV,650.700000000,MW
BAU_Extreme,2033,WIND,1050.000000000,MW
BAU_Extreme,2033,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2033,BIOENERGY,0.000000000,MW
BAU_Extreme,2033,DIESEL,0.000000000,MW
BAU_Extreme,2033,FUEL OIL,0.000000000,MW
BAU_Extreme,2033,GAS,0.000000000,MW
BAU_Extreme,2033,IMPORTS,0.000000000,MW
BAU_Extreme,2033,OTHER,0.000000000,MW
BAU_Extreme,2034,HYDRO,12.000000000,MW
BAU_Extreme,2034,PV,200.000000000,MW
BAU_Extreme,2034,WIND,300.000000000,MW
BAU_Extreme,2034,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2034,BIOENERGY,0.000000000,MW
BAU_Extreme,2034,DIESEL,0.000000000,MW
BAU_Extreme,2034,FUEL OIL,0.000000000,MW
BAU_Extreme,2034,GAS,0.000000000,MW
BAU_Extreme,2034,IMPORTS,0.000000000,MW
BAU_Extreme,2034,OTHER,0.000000000,MW
BAU_Extreme,2035,HYDRO,262.000000000,MW
BAU_Extreme,2035,PV,0.000000000,MW
BAU_Extreme,2035,WIND,0.000000000,MW
BAU_Extreme,2035,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2035,BIOENERGY,0.000000000,MW
BAU_Extreme,2035,DIESEL,0.000000000,MW
BAU_Extreme,2035,FUEL OIL,0.000000000,MW
BAU_Extreme,2035,GAS,0.000000000,MW
BAU_Extreme,2035,IMPORTS,0.000000000,MW
BAU_Extreme,2035,OTHER,0.000000000,MW
BAU_Extreme,2036,HYDRO,358.400000000,MW
BAU_Extreme,2036,PV,353.300000000,MW
BAU_Extreme,2036,WIND,0.000000000,MW
BAU_Extreme,2036,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2036,BIOENERGY,0.000000000,MW
BAU_Extreme,2036,DIESEL,0.000000000,MW
BAU_Extreme,2036,FUEL OIL,0.000000000,MW
BAU_Extreme,2036,GAS,0.000000000,MW
BAU_Extreme,2036,IMPORTS,0.000000000,MW
BAU_Extreme,2036,OTHER,0.000000000,MW
BAU_Extreme,2037,HYDRO,627.000000000,MW
BAU_Extreme,2037,PV,100.000000000,MW
BAU_Extreme,2037,WIND,0.000000000,MW
BAU_Extreme,2037,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2037,BIOENERGY,0.000000000,MW
BAU_Extreme,2037,DIESEL,0.000000000,MW
BAU_Extreme,2037,FUEL OIL,0.000000000,MW
BAU_Extreme,2037,GAS,0.000000000,MW
BAU_Extreme,2037,IMPORTS,0.000000000,MW
BAU_Extreme,2037,OTHER,0.000000000,MW
BAU_Extreme,2038,HYDRO,614.500000000,MW
BAU_Extreme,2038,PV,0.000000000,MW
BAU_Extreme,2038,WIND,0.000000000,MW
BAU_Extreme,2038,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2038,BIOENERGY,0.000000000,MW
BAU_Extreme,2038,DIESEL,0.000000000,MW
BAU_Extreme,2038,FUEL OIL,0.000000000,MW
BAU_Extreme,2038,GAS,0.000000000,MW
BAU_Extreme,2038,IMPORTS,0.000000000,MW
BAU_Extreme,2038,OTHER,0.000000000,MW
BAU_Extreme,2039,HYDRO,741.800000000,MW
BAU_Extreme,2039,PV,0.000000000,MW
BAU_Extreme,2039,WIND,0.000000000,MW
BAU_Extreme,2039,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2039,BIOENERGY,0.000000000,MW
BAU_Extreme,2039,DIESEL,0.000000000,MW
BAU_Extreme,2039,FUEL OIL,0.000000000,MW
BAU_Extreme,2039,GAS,0.000000000,MW
BAU_Extreme,2039,IMPORTS,0.000000000,MW
BAU_Extreme,2039,OTHER,0.000000000,MW
BAU_Extreme,2040,HYDRO,539.450000000,MW
BAU_Extreme,2040,PV,0.000000000,MW
BAU_Extreme,2040,WIND,0.000000000,MW
BAU_Extreme,2040,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2040,BIOENERGY,0.000000000,MW
BAU_Extreme,2040,DIESEL,0.000000000,MW
BAU_Extreme,2040,FUEL OIL,0.000000000,MW
BAU_Extreme,2040,GAS,0.000000000,MW
BAU_Extreme,2040,IMPORTS,0.000000000,MW
BAU_Extreme,2040,OTHER,0.000000000,MW
BAU_Extreme,2041,HYDRO,406.260000000,MW
BAU_Extreme,2041,PV,0.000000000,MW
BAU_Extreme,2041,WIND,0.000000000,MW
BAU_Extreme,2041,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2041,BIOENERGY,0.000000000,MW
BAU_Extreme,2041,DIESEL,0.000000000,MW
BAU_Extreme,2041,FUEL OIL,200.000000000,MW
BAU_Extreme,2041,GAS,0.000000000,MW
BAU_Extreme,2041,IMPORTS,0.000000000,MW
BAU_Extreme,2041,OTHER,0.000000000,MW
BAU_Extreme,2042,HYDRO,529.100000000,MW
BAU_Extreme,2042,PV,0.000000000,MW
BAU_Extreme,2042,WIND,0.000000000,MW
BAU_Extreme,2042,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2042,BIOENERGY,0.000000000,MW
BAU_Extreme,2042,DIESEL,0.000000000,MW
BAU_Extreme,2042,FUEL OIL,0.000000000,MW
BAU_Extreme,2042,GAS,0.000000000,MW
BAU_Extreme,2042,IMPORTS,0.000000000,MW
BAU_Extreme,2042,OTHER,0.000000000,MW
BAU_Extreme,2043,HYDRO,518.100000000,MW
BAU_Extreme,2043,PV,0.000000000,MW
BAU_Extreme,2043,WIND,0.000000000,MW
BAU_Extreme,2043,GEOTHERMAL,0.000000000,MW
